STwardcode,POLY_ID,O,E,SMR,RR.HET,resRR.HET,probaresRR.HET
00AGGJ,112,18,27.68541457,0.650161837,0.777445825,0.7893639,0.059
00AGGK,113,40,26.01204437,1.537749184,1.360605275,1.381486075,0.98325
00AGGL,114,26,30.07133905,0.86461065,0.9051294,0.919023525,0.2725
00AGGM,115,35,25.75220445,1.359106948,1.24208915,1.26116035,0.92625
00AGGN,116,30,29.67660298,1.010897373,1.007050575,1.0224939,0.5375
00AGGP,117,26,23.6798418,1.097980308,1.056748325,1.072899875,0.637
00AGGQ,118,35,23.22293466,1.507130796,1.322958925,1.343201675,0.965
00AGGR,119,40,26.21024841,1.526120599,1.3537776,1.37451295,0.9845
00AGGS,120,18,18.0865514,0.995214599,0.998536525,1.0138,0.506
00AGGT,121,38,26.89562998,1.412868932,1.275371025,1.29491435,0.95225
00AGGU,122,40,27.46311126,1.456499215,1.3150964,1.33521165,0.97525
00AGGW,123,21,28.93030601,0.725882401,0.819981125,0.832517025,0.11475
00AGGX,124,25,18.45337586,1.354765664,1.208826375,1.2272619,0.8695
00AHGE,125,43,35.63306444,1.206744373,1.150943625,1.1685471,0.8585
00AHGF,126,46,40.70231816,1.13015676,1.09961225,1.11647545,0.77975
00AHGG,127,26,34.33304176,0.757287985,0.832208175,0.844955,0.117
00AHGH,128,38,30.23096283,1.256989406,1.174209675,1.1921674,0.87525
00AHGJ,129,39,46.32437103,0.841889466,0.879318375,0.89284925,0.1875
00AHGK,130,26,41.0526314,0.633333336,0.740264,0.751619975,0.02175
00AHGL,131,25,39.21418283,0.637524441,0.739516575,0.75083545,0.01975
00AHGM,132,27,41.61375301,0.64882396,0.746419175,0.757810525,0.019
00AHGN,133,31,23.0151184,1.346940714,1.21980065,1.23849325,0.9045
00AHGP,134,25,42.68584697,0.585674217,0.702530775,0.713256,0.00975
00AHGQ,135,31,44.98770247,0.689077199,0.767796,0.779573275,0.02975
00AHGR,136,41,29.28320354,1.400120036,1.276578875,1.2961353,0.96075
00AHGS,137,27,43.57100052,0.619678219,0.724646125,0.735759675,0.01075
00AHGT,138,34,39.3146577,0.864817399,0.90186095,0.915687075,0.25025
00AHGU,139,35,47.1301461,0.742624475,0.807511725,0.81989835,0.06725
00AHGW,140,25,31.00290584,0.806376026,0.86815325,0.88144875,0.1935
00AHGX,141,27,40.09418549,0.673414353,0.767640375,0.7794288,0.03675
00AHGY,142,38,46.07037036,0.824825147,0.868436625,0.881725225,0.15
00AHGZ,143,34,35.07090858,0.969464476,0.981085125,0.99613295,0.46175
00AHHA,144,25,33.64325313,0.743091041,0.824446525,0.837061975,0.10775
00AHHB,145,31,37.34132262,0.830179485,0.87631915,0.88974425,0.1895
00AHHC,146,49,38.86196356,1.260872985,1.1916389,1.2099391,0.92075
00AHHD,147,15,34.96616042,0.428986192,0.6253298,0.634935525,0.002
00AHHE,148,28,29.1582429,0.960277342,0.971517375,0.9863973,0.4405
00AJGC,149,32,31.09907538,1.028969499,1.02178405,1.0374589,0.5785
00AJGD,150,31,35.15965929,0.881692275,0.9169894,0.931032375,0.28875
00AJGE,151,24,29.04569221,0.826284319,0.88285205,0.89641655,0.226
00AJGF,152,24,32.15159308,0.746463789,0.830188675,0.842850225,0.10725
00AJGG,153,18,33.29613507,0.540603285,0.693975725,0.704598175,0.0115
00AJGH,154,33,33.0376294,0.998861014,0.99959855,1.014920375,0.52125
00AJGJ,155,25,29.2622611,0.854342729,0.8999671,0.913734425,0.26325
00AJGK,156,34,36.84636795,0.922750379,0.94226025,0.956635175,0.3515
00AJGL,157,35,34.38254706,1.017958325,1.010710075,1.02619165,0.5485
00AJGM,158,23,40.36016337,0.569868853,0.697190025,0.707866575,0.008
00AJGN,159,44,34.55271809,1.273416461,1.1980932,1.216491125,0.91175
00AJGP,160,19,29.34749453,0.647414722,0.77398425,0.78583055,0.05375
00AJGQ,161,35,30.19596532,1.159095251,1.103523125,1.12039695,0.76225
00AJGR,162,30,32.7929665,0.914830319,0.9388866,0.95326585,0.35325
00AJGS,163,41,36.01905969,1.138286239,1.0951364,1.111965025,0.76075
00AJGT,164,47,35.04268582,1.341221396,1.247088325,1.266246175,0.958
00AJGU,165,15,29.93979197,0.501005485,0.68443095,0.694892125,0.00975
00AJGW,166,34,33.16094747,1.025302429,1.0164182,1.032044175,0.5575
00AJGX,167,25,33.70953129,0.741630009,0.8236798,0.83632815,0.104
00AJGY,168,13,25.50921956,0.509619668,0.7041989,0.714999025,0.0235
00AJGZ,169,14,24.18544717,0.578860498,0.747644675,0.759053275,0.04525
00AJHA,170,24,28.36239803,0.84619079,0.90062525,0.914444725,0.2615
00AJHB,171,20,29.39355802,0.680421199,0.79141685,0.803535175,0.0735
00AKGL,172,15,28.65069025,0.523547596,0.699513975,0.71020265,0.017
00AKGM,173,30,44.22693567,0.678319661,0.76197215,0.773645725,0.0315
00AKGN,174,30,38.05601478,0.788311655,0.8502771,0.86333015,0.13625
00AKGP,175,24,50.02302027,0.479779107,0.616323475,0.6257515,0.00025
00AKGQ,176,45,31.95264294,1.408334205,1.289656425,1.309457775,0.9705
00AKGR,177,29,35.12555179,0.825609806,0.8773183,0.890788125,0.2065
00AKGS,178,28,28.56544707,0.980205208,0.9822268,0.997286925,0.4685
00AKGT,179,28,47.14288385,0.593939057,0.70247425,0.713204925,0.0075
00AKGU,180,25,33.48825374,0.746530416,0.827574575,0.840240925,0.111
00AKGW,181,29,47.26521855,0.613558995,0.714332425,0.725322075,0.01
00AKGX,182,33,36.37268741,0.907274176,0.9305907,0.9449077,0.32475
00AKGY,183,31,29.10919788,1.064955487,1.04330035,1.059251025,0.62575
00AKGZ,184,31,36.53315458,0.848544298,0.891431475,0.9050878,0.229
00AKHA,185,34,26.95924692,1.261162825,1.172356875,1.1902771,0.86625
00AKHB,186,29,30.8694542,0.939439998,0.956356325,0.97100705,0.401
00AKHC,187,22,40.50912229,0.543087551,0.678784075,0.689174525,0.00675
00AKHD,188,24,40.82614038,0.587858656,0.7099242,0.720796375,0.01025
00AKHE,189,40,44.35181417,0.901879681,0.9248326,0.9389828,0.30275
00AKHF,190,39,36.5302398,1.06760865,1.05185265,1.067921875,0.667
00AKHG,191,35,35.20495678,0.994178184,0.996605025,1.0118426,0.50675
00AKHH,192,23,36.48873622,0.630331505,0.7462877,0.757720375,0.0305
00ALGP,193,58,36.0383256,1.609397746,1.462264375,1.484681775,0.99875
00ALGQ,194,45,38.77076925,1.160668227,1.115920625,1.133019675,0.811
00ALGR,195,40,32.46594193,1.232060357,1.164930275,1.18278505,0.87375
00ALGS,196,48,46.08680835,1.041512782,1.0317631,1.047601425,0.624
00ALGT,197,39,42.5568086,0.916422102,0.939413625,0.95380885,0.3485
00ALGU,198,41,42.62677544,0.96183677,0.970888525,0.9857988,0.44225
00ALGW,199,58,33.17701744,1.748198135,1.554542125,1.578386975,0.99975
00ALGX,200,41,26.15285101,1.56770671,1.38217935,1.4032938,0.9905
00ALGY,201,37,26.59030326,1.391484694,1.2599775,1.27921565,0.94225
00ALGZ,202,56,38.44583186,1.456594832,1.343035475,1.36360585,0.9915
00ALHA,203,52,40.11502188,1.296272508,1.221739325,1.2404511,0.95075
00ALHB,204,28,23.80547838,1.176199846,1.109497925,1.126519275,0.759
00ALHC,205,44,29.63428439,1.484766746,1.34332905,1.363914175,0.989
00ALHD,206,34,34.38812494,0.988713402,0.99001795,1.005149125,0.49225
00ALHE,207,34,19.22052606,1.768942218,1.4778674,1.5005024,0.995
00ALHF,208,37,25.52249144,1.44970173,1.30155195,1.321544875,0.964
00ALHG,209,42,24.46026858,1.717070271,1.479475,1.5021976,0.9955
00AMGA,210,10,20.13402494,0.49667168,0.723006225,0.734098475,0.0355
00AMGB,211,17,17.27305227,0.984192008,0.996270225,1.011485825,0.5075
00AMGC,212,22,20.56094617,1.06998967,1.042230475,1.058192025,0.5995
00AMGD,213,25,20.47050095,1.221269576,1.129639725,1.14692885,0.77525
00AMGE,214,27,19.62975423,1.375462967,1.22171875,1.240483525,0.89525
00AMGF,215,34,22.4237935,1.516246571,1.333091975,1.353469,0.9715
00AMGG,216,33,20.46779816,1.612288716,1.388025925,1.409281725,0.982
00AMGH,217,27,20.27424901,1.331738601,1.1950296,1.213383525,0.873
00AMGJ,218,22,18.41550018,1.194645803,1.114577325,1.1316433,0.757
00AMGK,219,45,24.54095431,1.833669523,1.567502075,1.591506225,0.999
00AMGL,220,22,20.89551818,1.052857355,1.031241975,1.0470672,0.58375
00AMGM,221,13,20.23654908,0.64240202,0.802847025,0.8150655,0.10575
00AMGN,222,21,22.17498465,0.947013057,0.965678825,0.980418525,0.4165
00AMGP,223,16,25.12477078,0.63682173,0.77823965,0.790138675,0.076
00AMGQ,224,29,23.6582497,1.22578806,1.141436125,1.158933325,0.80675
00AMGR,225,9,21.98646133,0.409342816,0.6707456,0.6809905,0.01475
00AMGS,226,24,19.51931508,1.22955134,1.133164275,1.150489125,0.78
00AMGT,227,39,23.01431521,1.694597456,1.459448225,1.481827125,0.99575
00AMGU,228,34,21.4526456,1.584886109,1.37376345,1.394729075,0.98325
00ANGA,229,28,20.29839871,1.379419155,1.230356225,1.249183575,0.89825
00ANGB,230,24,24.08436254,0.996497207,0.99453005,1.009778025,0.4975
00ANGC,231,28,27.06580518,1.034515686,1.01986675,1.035481625,0.56875
00ANGD,232,25,20.15196711,1.24057368,1.1464805,1.1640282,0.80275
00ANGE,233,43,23.34113795,1.842240944,1.56253875,1.5865718,0.998
00ANGF,234,27,22.81141131,1.18361813,1.1128248,1.1298582,0.768
00ANGG,235,38,26.42699864,1.43792341,1.292607575,1.312487225,0.96
00ANGH,236,25,20.6556451,1.210322886,1.132713,1.150029675,0.784
00ANGJ,237,19,19.10881545,0.994305484,0.994378975,1.00956645,0.488
00ANGK,238,29,21.66797247,1.338380877,1.211764525,1.230272075,0.8835
00ANGL,239,26,22.61782286,1.149535928,1.0929064,1.109650325,0.719
00ANGM,240,22,25.30512837,0.86938899,0.914145025,0.9281058,0.2975
00ANGN,241,25,21.39935619,1.168259446,1.103783,1.12072095,0.73675
00ANGP,242,24,23.18414893,1.035190037,1.01891475,1.034533925,0.55525
00ANGQ,243,19,18.71440314,1.015260805,1.008779575,1.024209925,0.528
00ANGR,244,40,29.1900361,1.370330611,1.255847675,1.275092325,0.954
00APGA,245,18,21.65420342,0.831247387,0.896869325,0.910565475,0.27375
00APGB,246,23,25.5881196,0.898854639,0.9386664,0.9530406,0.36075
00APGC,247,16,24.37309263,0.656461625,0.787480525,0.799526375,0.079
00APGD,248,17,20.44097759,0.831662768,0.90492165,0.918720925,0.28225
00APGE,249,19,26.46783154,0.717852536,0.82106745,0.833616025,0.1145
